"No.","Time","Source","Destination","Protocol","Length","Info"
"1070","41.035486","163.70.145.60","192.168.1.12","TCP","66","[TCP Dup ACK 1066#2] 5222  >  19948 [ACK] Seq=84053 Ack=38155 Win=5544 Len=0 SLE=38081 SRE=38155"
"1071","41.143638","192.168.1.12","142.250.77.234","UDP","71","51620  >  443 Len=29"
"1072","41.168260","142.250.77.234","192.168.1.12","UDP","67","443  >  51620 Len=25"
"1073","41.379466","192.168.1.12","142.250.77.234","UDP","71","51620  >  443 Len=29"
"1074","41.397111","142.250.77.234","192.168.1.12","UDP","67","443  >  51620 Len=25"
"1075","41.598144","192.168.1.12","142.250.77.234","UDP","71","51620  >  443 Len=29"
"1076","41.614140","142.250.77.234","192.168.1.12","UDP","67","443  >  51620 Len=25"
"1077","41.817396","192.168.1.12","142.250.77.234","UDP","71","51620  >  443 Len=29"
"1078","41.835579","142.250.77.234","192.168.1.12","UDP","67","443  >  51620 Len=25"
"1079","41.882902","192.168.1.12","163.70.145.60","TCP","130","19948  >  5222 [PSH, ACK] Seq=38155 Ack=84053 Win=509 Len=76 [TCP PDU reassembled in 1328]"
"1080","41.899765","163.70.145.60","192.168.1.12","TCP","60","5222  >  19948 [ACK] Seq=84053 Ack=38231 Win=5544 Len=0"
"1081","42.036449","192.168.1.12","142.250.77.234","UDP","71","51620  >  443 Len=29"
"1082","42.053590","142.250.77.234","192.168.1.12","UDP","67","443  >  51620 Len=25"
"1083","42.256118","192.168.1.12","142.250.77.234","UDP","71","51620  >  443 Len=29"
"1084","42.271709","142.250.77.234","192.168.1.12","UDP","67","443  >  51620 Len=25"
"1085","42.614397","Digisol_03:e8:e0","Broadcast","ARP","60","Who has 192.168.1.12? Tell 192.168.1.1"
"1086","42.614424","AzureWaveTec_e5:a6:9d","Digisol_03:e8:e0","ARP","42","192.168.1.12 is at 2c:3b:70:e5:a6:9d"
"1087","42.614920","Digisol_03:e8:e0","Broadcast","ARP","60","Who has 192.168.1.9? Tell 192.168.1.1"
"1088","42.615978","Digisol_03:e8:e0","Broadcast","ARP","60","Who has 192.168.1.2? Tell 192.168.1.1"
"1089","42.687581","192.168.1.12","142.250.77.234","UDP","71","51620  >  443 Len=29"
"1090","42.702236","142.250.77.234","192.168.1.12","UDP","67","443  >  51620 Len=25"
"1091","43.139129","163.70.145.60","192.168.1.12","TCP","154","5222  >  19948 [PSH, ACK] Seq=84053 Ack=38231 Win=5544 Len=100"
"1092","43.193975","192.168.1.12","163.70.145.60","TCP","54","19948  >  5222 [ACK] Seq=38231 Ack=84153 Win=509 Len=0"
"1093","43.335130","192.168.1.12","163.70.145.60","TCP","130","19948  >  5222 [PSH, ACK] Seq=38231 Ack=84153 Win=509 Len=76 [TCP PDU reassembled in 1328]"
"1094","43.375101","172.217.26.42","192.168.1.12","UDP","80","443  >  51327 Len=38"
"1095","43.375101","172.217.26.42","192.168.1.12","UDP","136","443  >  51327 Len=94"
"1096","43.379833","192.168.1.12","172.217.26.42","UDP","75","51327  >  443 Len=33"
"1097","43.385511","192.168.1.12","172.217.26.42","UDP","322","51327  >  443 Len=280"
"1098","43.403153","163.70.145.60","192.168.1.12","TCP","60","5222  >  19948 [ACK] Seq=84153 Ack=38307 Win=5544 Len=0"
"1099","43.420232","172.217.26.42","192.168.1.12","UDP","75","443  >  51327 Len=33"
"1100","43.434502","192.168.1.12","172.217.26.42","UDP","75","51327  >  443 Len=33"
"1101","43.445445","172.217.26.42","192.168.1.12","UDP","154","443  >  51327 Len=112"
"1102","43.450177","192.168.1.12","172.217.26.42","UDP","82","51327  >  443 Len=40"
"1103","43.467519","172.217.26.42","192.168.1.12","UDP","68","443  >  51327 Len=26"
"1104","43.487412","192.168.1.12","163.70.145.60","TCP","152","19948  >  5222 [PSH, ACK] Seq=38307 Ack=84153 Win=509 Len=98 [TCP PDU reassembled in 1328]"
"1105","43.500932","163.70.145.60","192.168.1.12","TCP","60","5222  >  19948 [ACK] Seq=84153 Ack=38405 Win=5544 Len=0"
"1106","43.505754","192.168.1.12","142.250.77.234","UDP","71","51620  >  443 Len=29"
"1107","43.523451","142.250.77.234","192.168.1.12","UDP","67","443  >  51620 Len=25"
"1108","44.885837","192.168.1.12","163.70.145.60","TCP","130","19948  >  5222 [PSH, ACK] Seq=38405 Ack=84153 Win=509 Len=76 [TCP PDU reassembled in 1328]"
"1109","44.897806","163.70.145.60","192.168.1.12","TCP","60","5222  >  19948 [ACK] Seq=84153 Ack=38481 Win=5544 Len=0"
"1110","45.140125","192.168.1.12","142.250.77.234","UDP","71","51620  >  443 Len=29"
"1111","45.192187","142.250.77.234","192.168.1.12","UDP","67","443  >  51620 Len=25"
"1112","45.723023","192.168.1.12","20.195.84.1","TLSv1.2","85","Application Data"
"1113","45.806687","20.195.84.1","192.168.1.12","TCP","60","443  >  19939 [ACK] Seq=82 Ack=122 Win=671 Len=0"
"1114","45.895598","192.168.1.12","163.70.145.60","TCP","130","19948  >  5222 [PSH, ACK] Seq=38481 Ack=84153 Win=509 Len=76 [TCP PDU reassembled in 1328]"
"1115","45.939984","163.70.145.60","192.168.1.12","TCP","60","5222  >  19948 [ACK] Seq=84153 Ack=38557 Win=5544 Len=0"
"1116","46.487284","192.168.1.12","172.64.148.235","TLSv1.2","144","Application Data"
